Stock No.,Stock  Type,Year,Make,Model,Model No.,Model  Type,Body  Style,Color,Interior Color,Engine,Retail,Invoice,Lot,Co.,Age,Status,VIN,Deal  No.,Mileage
84121,NEW,2018,CHEV,SILVERADO 1500,CC15543,TK,PU,SUMMIT WHITE,JET BLACK,L8B 5.3L ECOTEC3 V8 EASSIST,44895,42179.75,,90,,T,3GCUCRER4JG275954,,3
84122,NEW,2018,CHEV,COLORADO,,TK,PU,SUMMIT WHITE,JET BLACK,2.5 Liter DOHC,27520,26837.29,,90,3,S,1GCGSBEA0J1123363,,115
84123,NEW,2018,CHEV,TAHOE,,MP,UV,BLACK,COCOA/DUNE,5.3 Liter,74575,71399.3,,90,2,S,1GNSKCKC9JR140676,,273
84124,NEW,2018,CHEV,SILVERADO 1500,CC15703,TK,PU,SUMMIT WHITE,JET BLACK / DARK ASH,LV3 4.3L ECOTEC3 V6,31140,29876.01,,90,,T,1GCNCNEH4JZ219386,,3
87001,NEW,2018,BUIC,ENVISION,4XT26,,UT,BRONZE ALLOY METALLIC,LIGHT NEUTRAL/EBONY ACCENTS,LTG 2.0L TURBO DOHC 4-CYLINDER SIDI W/VVT,44185,42204.95,,90,80,S,LRBFX3SX9JD000704,,18
87002,NEW,2018,BUIC,ENCLAVE,4NC56,MP,UT,RED QUARTZ TINTCOAT,SHALE WITH EBONY ACCENTS,LFY 3.6L V6 SIDI VVT,50630,48329.94,,90,50,S,5GAERCKW3JJ140040,,10
87003,NEW,2018,BUIC,ENVISION,4XS26,,UT,GALAXY SILVER METALLIC,LIGHT NEUTRAL/EBONY ACCENTS,LCV 2.5L DOHC 4-CYLINDER SIDI W/VVT,39605,37831.95,,90,36,S,LRBFX1SA3JD005977,,13
87004,NEW,2018,BUIC,ENVISION,4XU26,,UT,BRONZE ALLOY METALLIC,LIGHT NEUTRAL/EBONY ACCENTS,LTG 2.0L TURBO DOHC 4-CYLINDER SIDI W/VVT,48525,46283.35,,90,31,S,LRBFX4SX6JD009642,,10
87005,NEW,2018,BUIC,ENVISION,4XS26,,UT,GALAXY SILVER METALLIC,LIGHT NEUTRAL/EBONY ACCENTS,LCV 2.5L DOHC 4-CYLINDER SIDI W/VVT,40235,38408.4,,90,31,S,LRBFX1SA0JD010084,,11
87006,NEW,2018,BUIC,ENVISION,4XU26,,UT,CHILI RED METALLIC,LIGHT NEUTRAL/EBONY ACCENTS,LTG 2.0L TURBO DOHC 4-CYLINDER SIDI W/VVT,48525,46283.35,,90,31,S,LRBFX4SX6JD009737,,3
CD8284,NEW,2014,CHEV,EXPRESS 3500,,B,VN,,,4.8 Liter SFI,,,,90,,T,1GAZGZFA6E1135016,,6
CD8291,S,2015,CHEV,SILVERADO 1500,,TK,,JET BLACK,DARK ASH,4.3 Liter SIDI,,,,90,,T,1GCNCPEH8FZ309269,,8
CD8301,NEW,2016,CHEV,CITY EXPRESS,,,VN,,,2.0 Liter,,,,90,,T,3N63M0ZN4GK690559,,14
CD8307,NEW,2016,CHEV,SILVERADO 2500,,IV,PU,,,6.0 Liter SFI,,,,90,,T,1GB0KUEG9GZ375502,,3
CD8310,NEW,2018,CHEV,SILVERADO 2500,,IV,PU,JET BLACK,,6.0 Liter,,,,90,,T,1GB2CUEG8JZ158911,,10
CD8311,NEW,2018,CHEV,SILVERADO 2500,,IV,PU,JET BLACK,,6.0 Liter,,,,90,,T,1GB2CUEGXJZ162765,,10
SQTN37,S,2016,CHEV,CORVETTE,1YZ07,C,CP,DAYTONA SUNRISE ORANGE,KALAHARI,LT4 6.2L (376 CI) SUPERCHARGED V8 DI,101735,92687.9,,90,,T,1G1YU2D6XG5600760,,0
VRKDWJ,NEW,2018,CHEV,COLORADO,12P43,TK,PU,SATIN STEEL GRAY METALLIC,JET BLACK,LWN 2.8L DURAMAX TURBO-DIESEL,46980,44750.69,,90,,T,1GCPTEE11J1191833,,0
Z1056,USED,2016,CHRY,300,,C,SD,WHITE,,3.6 Liter,,,,90,,T,2C3CCAEG0GH190313,,40864
Z1393,USED,2011,CHEV,TRAVERSE,,MP,UT,PEARL WHITE,,3.6 Liter SIDI,24995,,,90,,T,1GNKRJED4BJ410014,,70294
Z1681,USED,2015,EZGO,GOLF CART,,,,,,,,,,90,,I,1191787,,1
Z1873A,USED,1993,FORD,AEROSTAR,A11,TK,WG,AUCTION,,3.0 Liter EFI,,,,90,,T,1FMCA11U8PZB17912,,249531
Z1881,USED,2013,TOYO,SCION TC,,C,HB,WHITE,,2.5 Liter,,,,90,,T,JTKJF5C73D3058075,,55334
Z1890,USED,2014,NISS,ROGUE,,MP,WG,BLACK,,2.5 Liter,,,,90,,T,5N1AT2ML8EC764952,,42978
Z2044,USED,2016,CHEV,MALIBU,,C,SD,NIGHTFALL GRAY,,1.5 Liter DOHC Turbo,,,SENT BACK,90,,T,1G1ZE5ST5GF250511,,18904
Z2070,USED,2016,FORD,FIESTA,P4E,C,HB,KONA BLUE,,1.6 Liter TiVCT,12943,,MANHEIM,90,253,S,3FADP4EJ3GM112116,,42559
Z2079,USED,2017,CHEV,CRUZE,,C,NB,RED,,1.4 Liter DOHC Turbo,18002,,MANHEIM,90,246,S,1G1BE5SMXH7123632,,12870
Z2088,USED,2016,CHEV,CAMARO,,C,CP,RED HOT,,3.6 Liter DOHC,24421,,LOT,90,238,S,1G1FB1RS8G0172603,,27667
Z2102A,USED,2014,MAZD,MAZDA 3,,C,SD,WHITE,,2.5 Liter,16807,,LOT,90,95,S,JM1BM1W30E1108768,,46008
Z2108,USED,2016,TOYO,COROLLA,,C,SD,RED,,1.8 Liter,14092,,LOT,90,190,S,2T1BURHEXGC603409,11285,44547
Z2114,USED,2014,TOYO,SCION TC,,C,HB,GRAY,,2.5 Liter,15333,,LOT,90,186,S,JTKJF5C75E3076580,,35207
Z2121A,USED,2013,NISS,VERSA,,C,SD,SILVER,,1.6 Liter,10495,,LOT,90,115,S,3N1CN7AP7DL876370,,32857
Z2122,USED,2016,NISS,VERSA,,C,SD,FRESH POWDER,,1.6 Liter,12109,,LOT,90,174,S,3N1CN7AP7GL805335,,41773
Z2129A,USED,2013,CHEV,IMPALA,,C,SD,,,3.6 Liter SIDI DOHC,10938,,LOT,90,43,S,2G1WC5E36D1219887,,78643
Z2130,USED,2016,FORD,F-150,W1C,TK,PU,SILVER,,3.5 Liter VIVCT,28452,,LOT,90,169,S,1FTEW1C82GKD80355,,29655
Z2133,USED,2016,CHEV,IMPALA,,C,SD,WHITE,,3.6 Liter SIDI DOHC,19053,,LOT,90,162,S,2G1115S3XG9135517,,41212
Z2134A,USED,2013,FORD,FUSION,,C,,SILVER,,,13764,,LOT,90,83,S,3FA6POH94DR388449,,55320
Z2136B,USED,2013,NISS,SENTRA,,C,SD,WHITE,,1.8 Liter,10857,,LOT,90,85,S,3N1AB7AP8DL662326,,62459
Z2141,USED,2016,KIA,FORTE,,C,SD,GRAY,,1.8 Liter,12728,,LOT,90,151,S,KNAFX4A6XG5506283,,38903
Z2148,USED,2016,NISS,SENTRA,12014,C,SD,SILVER,,1.8 Liter,13362,,LOT,90,141,S,3N1AB7AP5GY243034,,44553
Z2151,USED,2015,GMC,SIERRA 1500,,TK,PU,GRAY,,5.3 Liter SIDI,41777,,LOT,90,126,S,3GTU2VEC3FG387191,,43661
Z2155,USED,2014,CHEV,SILVERADO 1500,,TK,PU,BLACK,,5.3 Liter,36214,,LOT,90,129,S,3GCUKRECXEG184451,,33541
Z2160A,USED,2014,CHEV,SILVERADO 1500,,TK,PU,WHITE,,5.3 Liter,34982,,LOT,90,112,S,3GCPCSEC3EG263249,,41367
Z2161,USED,2016,HYUN,ACCENT,,C,SD,CENTURY WHITE,,1.6 Liter GDI DOHC,10931,,LOT,90,108,S,KMHCT4AE3GU013409,,46212
Z2165,USED,2016,DODG,JOURNEY,,MP,HB,GRANITE,,3.6 Liter,19460,,LOT,90,107,S,3C4PDDBG0GT216061,,37285
Z2167A,USED,2015,HOND,ODYSSEY,,MP,MP,BLUE,,3.5 Liter,29087,,LOT,90,39,S,5FNRL5H60FB070399,,30874
Z2168A,USED,2012,TOYO,RAV4,4431,MP,WG,,,3.5 Liter,,,WHSLE,90,4,S,2T3KK4DV2CW017334,,93341
Z2171,USED,2014,TOYO,CAMRY,,C,SD,BLACK,,2.5 Liter,16579,,LOT,90,77,S,4T1BF1FK7EU459169,,38362
Z2174A,USED,2011,BMW,328I SEDAN,1182,C,SD,,,3.0 Liter,,,WHSLE,90,4,S,WBAPH5G58BNM78983,,37499
Z2176,USED,2016,CHEV,IMPALA,,C,SD,MEDIUM GRAY,,3.6 Liter SIDI DOHC,15932,,LOT,90,66,S,2G1WC5E38G1169871,,46058
Z2177,USED,2015,JEEP,WRANGLER UNLIMITED,,MP,UT,SILVER,,3.6 Liter MPI,32918,,LOT,90,71,S,1C4HJWDG0FL664901,,36859
Z2178,USED,2016,KIA,FORTE,,C,SD,GREY,,1.8 Liter,12284,,LOT,90,55,S,KNAFX4A62G5437881,,38786
Z2179,USED,2017,HYUN,SONATA,,C,SD,WHITE,,2.4 Liter MPI DOHC,16507,,LOT,90,51,S,5NPE24AF3HH442411,,42285
Z2180,USED,2017,KIA,RIO,,C,SD,BLACK,,1.6 DOHC Liter,11549,,LOT,90,51,S,KNADM4A38H6015826,,40331
Z2181A,USED,1999,FORD,F-250,W21,TK,PU,,,7.3D TURBO DI,,,ADESA,90,31,S,1FTNW21F4XEA39397,,231524
Z2181G,USED,1996,DODG,BR1500,,PU,CK,,,5.9 Liter V-8 Gas MPI,,,ADESA,90,31,S,3B7HF13Z7TG117169,,175817
Z2182,USED,2016,FORD,FUSION,P0H,C,SD,SILVER,,2.5 Liter,17900,,LOT,90,44,S,3FA6P0H76GR345136,,19145
Z2185,USED,2017,GMC,TERRAIN,,MP,UT,RED,,2.4 Liter DOHC,23999,,LOT,90,18,S,2GKALPEKXH6139462,,44811
Z2186,USED,2017,CADI,XTS,,C,SD,BLACK,,3.6 Liter SIDI DOHC,29950,,SERVICE,90,,T,2G61M5S35H9111886,,27747
Z2188,USED,2017,KIA,RIO,,C,SD,SILVER,,1.6 DOHC Liter,11344,,LOT,90,15,S,KNADM4A34H6026872,,44658
Z2190,USED,2017,NISS,FRONTIER,,PU,PU,BLUE,,4.0 Liter,,,,90,,T,1N6AD0EV6HN738314,,16689
Z2191,USED,2017,CHRY,300,,C,SD,BLACK,,3.6 Liter,,,,90,,T,2C3CCABG9HH662949,,15974
