Stock No.,Stock  Type,Year,Make,Model,Model No.,Model  Type,Body  Style,Color,Interior Color,Engine,Retail,Invoice,Lot,Co.,Age,Status,VIN,Deal  No.,Mileage
83029,NEW,2018,CHEV,CRUZE,1BT68,C,HB,KINETIC BLUE METALLIC,JET BLACK,LE2 1.4L TURBO DOHC 4-CYL DI W/CVVT,23190,22389.23,,90,18,S,3G1BE6SM2JS551871,,5
83030,NEW,2018,CHEV,CRUZE,1BT69,C,SD,KINETIC BLUE METALLIC,DK ATMOSPHERE/MED ATMOSPHERE,LE2 1.4L TURBO DOHC 4-CYL DI W/CVVT,22720,21935.68,,90,18,S,1G1BE5SM2J7138941,,4
83031,NEW,2018,CHEV,CRUZE,1BT68,C,HB,CAJUN RED TINTCOAT,JET BLACK,LH7 1.6L TURBO DIESEL DOHC 4-CYLINDER,27830,26810.59,,90,1,S,3G1BG6SE8JS554809,,3
83032,NEW,2018,CHEV,CRUZE,1BT69,C,SD,ARCTIC BLUE METALLIC,DK ATMOSPHERE/MED ATMOSPHERE,LE2 1.4L TURBO DOHC 4-CYL DI W/CVVT,22325,21574.25,,90,,T,1G1BE5SM6J7145505,,3
83033,NEW,2018,CHEV,SONIC,1JU69,C,SD,SUMMIT WHITE,JET BLACK/DARK TITANIUM,LUW ECOTEC 1.8L DOHC VVT 4-CYLINDER SMFI,17370,16792.69,,90,,T,1G1JB5SH5J4106929,,3
83034,NEW,2018,CHEV,CRUZE,1BS68,C,HB,ARCTIC BLUE METALLIC,DK ATMOSPHERE/MED ATMOSPHERE,LE2 1.4L TURBO DOHC 4-CYL DI W/CVVT,27680,26598.84,,90,,T,3G1BF6SM4JS564375,,3
83035,NEW,2018,CHEV,SONIC,1JV69,C,SD,NIGHTFALL GRAY METALLIC,DARK PEWTER/ DARK TITANIUM,LUV ECOTEC TURBO 1.4L DOHC VVT 4-CYLINDER SMFI,20020,19312.44,,90,,T,1G1JD5SB3J4107146,,3
83036B,USED,2015,CHEV,CAMARO,,C,CP,BLACK,,6.2 Liter SFI,29995,,LOT,90,18,S,2G1FG1EW2F9150157,,26347
83037,NEW,2018,CHEV,CRUZE,1BS69,C,SD,KINETIC BLUE METALLIC,JET BLACK,LE2 1.4L TURBO DOHC 4-CYL DI W/CVVT,27605,26506.71,,90,,T,1G1BF5SM5J7151390,,3
83038,NEW,2018,CHEV,CRUZE,1BT69,C,SD,SILVER ICE METALLIC,JET BLACK,LH7 1.6L TURBO DIESEL DOHC 4-CYLINDER,29655,28478.46,,90,,T,1G1BH5SE7J7150969,,3
